student_id,student_name,communication_score,leadership_score,time_management_score,analytical_score,overall_score,kmeans_cluster,dbscan_cluster
STU043,Student 43,1.14,2.99,5.0,2.3899999999999997,2.88,3,1
STU044,Student 44,4.64,2.2,3.08,3.4400000000000004,3.34,1,1
STU045,Student 45,2.04,2.14,1.6600000000000001,3.29,2.2824999999999998,0,2
STU046,Student 46,3.65,1.15,5.0,4.16,3.49,1,1
STU047,Student 47,2.25,3.44,3.31,4.24,3.31,0,1
STU048,Student 48,3.08,3.01,5.0,1.88,3.2424999999999997,3,-1
STU049,Student 49,3.19,1.21,5.0,3.2,3.1500000000000004,3,1
STU050,Student 50,1.74,2.11,5.0,4.2,3.2625,3,1
STU051,Student 51,4.88,5.0,1.8800000000000001,3.01,3.6925,2,0
STU052,Student 52,4.1,2.76,2.24,4.43,3.3825,1,1
STU053,Student 53,4.76,2.38,4.1000000000000005,3.63,3.7175000000000002,1,1
STU054,Student 54,4.58,3.76,1.97,1.65,2.99,2,7
STU055,Student 55,3.39,5.0,1.38,1.28,2.7624999999999997,2,-1
STU056,Student 56,4.69,2.77,2.93,3.57,3.49,1,1
STU057,Student 57,1.35,4.49,4.44,1.11,2.8475,3,-1
STU058,Student 58,1.78,4.85,3.48,3.34,3.3625,0,1
STU059,Student 59,1.18,2.75,2.98,4.76,2.9175,0,1
STU060,Student 60,2.3,4.71,1.0899999999999999,3.3,2.8499999999999996,0,1
STU061,Student 61,2.55,3.2700000000000005,3.16,2.55,2.8825000000000003,3,1
STU062,Student 62,2.09,4.33,4.66,3.57,3.6625,0,5
STU063,Student 63,4.31,4.33,1.26,2.83,3.1825,2,0
STU064,Student 64,2.43,3.9400000000000004,2.77,3.18,3.08,0,1
STU065,Student 65,2.12,2.16,4.21,4.77,3.315,3,1
STU066,Student 66,3.17,5.0,3.66,2.54,3.5925000000000002,2,4
STU067,Student 67,1.56,3.08,3.49,4.84,3.2425,0,1
STU068,Student 68,4.21,2.55,3.5100000000000002,4.62,3.7225,1,1
STU069,Student 69,1.3,1.96,2.14,1.78,1.7950000000000002,3,-1
STU070,Student 70,4.95,4.16,1.8699999999999999,1.28,3.0649999999999995,2,7
STU071,Student 71,4.09,4.51,3.9400000000000004,1.4,3.485,2,4
STU072,Student 72,1.79,1.87,3.9400000000000004,1.07,2.1675,3,6
STU073,Student 73,1.02,3.8499999999999996,4.17,1.38,2.6049999999999995,3,-1
STU074,Student 74,4.26,2.71,4.3500000000000005,3.73,3.7625,1,1
STU075,Student 75,3.83,4.38,2.75,1.28,3.06,2,-1
STU076,Student 76,3.92,1.7,3.01,2.28,2.7274999999999996,1,-1
STU077,Student 77,4.09,3.76,4.19,4.38,4.1049999999999995,1,1
STU078,Student 78,1.3,2.55,3.6,1.09,2.135,3,6
STU079,Student 79,2.43,4.75,3.81,4.26,3.8125,0,1
STU080,Student 80,1.46,1.55,4.18,2.13,2.33,3,6
STU081,Student 81,4.45,2.36,4.56,1.47,3.2100000000000004,1,3
STU082,Student 82,3.49,1.45,2.35,3.79,2.7700000000000005,1,-1
STU083,Student 83,2.32,4.7,2.5,3.52,3.26,0,1
STU084,Student 84,1.25,4.51,1.38,4.51,2.9124999999999996,0,8
STU085,Student 85,2.24,2.03,3.31,3.94,2.88,3,1
STU086,Student 86,2.3,3.64,1.14,4.21,2.8225,0,8
STU087,Student 87,3.92,4.27,2.86,2.13,3.295,2,-1
STU088,Student 88,3.55,3.22,3.17,1.71,2.9124999999999996,2,-1
STU089,Student 89,4.55,3.12,2.15,4.0,3.455,1,1
STU090,Student 90,2.89,1.97,3.36,4.23,3.1125000000000003,1,1
STU091,Student 91,1.48,1.37,1.12,4.96,2.2325,0,-1
STU092,Student 92,3.85,4.59,1.15,2.65,3.06,2,0
STU093,Student 93,4.04,4.6,4.29,2.49,3.855,2,4
STU094,Student 94,3.25,3.53,2.44,4.11,3.3324999999999996,0,-1
STU095,Student 95,4.08,2.36,1.51,2.36,2.5774999999999997,1,1
STU096,Student 96,2.98,2.4,3.09,4.72,3.2974999999999994,1,1
STU097,Student 97,3.09,3.9,4.08,4.43,3.875,0,1
STU098,Student 98,2.71,4.59,1.86,2.72,2.97,2,1
STU099,Student 99,1.1,4.55,3.49,4.0,3.285,0,1
STU100,Student 100,1.43,4.12,1.34,4.02,2.7275,0,8
