student_id,group,skill_cluster,archetype,communication_score,leadership_score,time_management_score,analytical_score,specialization,preferred_programming_language
ETU_116,5,1,Developing Potential,1.871435877248273,1.2991419663645627,1.825154010939313,1.703108766933401,Network Engineering,Angular
ETU_095,5,2,Balanced Profile,2.866658391231243,2.3191938838986523,3.2906679631673628,3.376999776826818,Software Engineering,Java
ETU_005,5,3,Natural Leader,4.541779772508945,4.753788975272156,3.474679163412774,4.15200740578894,Mobile Development,Java
ETU_120,6,0,Balanced Profile,3.0968312390532344,2.998199104731267,2.5161823817182194,2.2926499599370205,DevOps & Cloud Computing,React
ETU_118,6,1,Developing Potential,2.8490809104583317,1.0489453881829547,2.4905458386330164,2.463682430842077,Network Engineering,Angular
ETU_092,6,2,Time Manager,1.8970744043025238,2.388188768114237,4.0119861760389,3.157621466301841,Web Development,C++
ETU_034,6,3,Natural Leader,3.780056277565368,4.332229357050174,4.480368910114189,4.028342881392609,DevOps & Cloud Computing,Java
ETU_083,7,0,Strong Communicator,4.072672901375317,2.993149138017389,2.9585560547704075,2.353032009333746,Mobile Development,PHP
ETU_013,7,1,Time Manager,1.6740683763748754,2.7337980121762953,3.7458550444697485,2.048266672727711,Embedded Systems,C#
ETU_063,7,2,Analytical Thinker,2.286637137337583,2.44334928262621,3.415691567878241,5.0,Mobile Development,Java
ETU_028,7,3,Natural Leader,2.3853065227774675,4.070974086359209,4.535975903897957,2.8726580267672652,Embedded Systems,PHP
ETU_093,8,0,Strong Communicator,4.5413455269435365,2.123100278545697,2.7344546678825803,2.995477988525314,Network Engineering,JavaScript
ETU_106,8,1,Time Manager,1.0939088247689346,2.3143451090482174,4.1222457445004865,1.709870593567818,Data Science & AI,React
ETU_014,8,2,Analytical Thinker,1.483042872878158,1.1617052010691535,2.895632104768508,4.102347261280126,Network Engineering,PHP
ETU_044,8,3,Balanced Profile,2.5921822942339103,3.9952107216166333,3.148699786124414,3.216023904295274,DevOps & Cloud Computing,React
ETU_021,9,0,Balanced Profile,3.7103886006693507,3.0059547545306344,2.1765752398203566,3.118626938657414,DevOps & Cloud Computing,JavaScript
ETU_002,9,1,Time Manager,2.398368368337319,1.5857168053174342,3.796644251496773,2.4714063711717533,Mobile Development,Python
ETU_114,9,2,Analytical Thinker,2.016037851810245,2.6270807290305616,3.658647561683347,3.7750603795536226,Embedded Systems,Python
ETU_097,9,3,Natural Leader,1.7070035879522065,3.936700635066461,3.7721052275326805,2.1123941760217244,Mobile Development,React
ETU_072,10,0,Strong Communicator,4.765949958272272,2.3461607727767344,2.9573941712319467,2.4912787147880455,Embedded Systems,React
ETU_046,10,1,Developing Potential,1.4259147959326532,1.0,3.5094605520899593,1.3959311307465236,Software Engineering,C++
ETU_090,10,2,Time Manager,2.9757929250009876,2.5643301544302575,4.157039065786393,4.272402675651871,Cybersecurity,C++
ETU_064,10,3,Balanced Profile,2.538624710098146,3.5088157062657688,3.2451643846210607,2.9153149173166697,Software Engineering,C++
ETU_062,11,0,Developing Potential,3.0926648593693473,3.021019620819547,3.1970138744983876,1.7065367722870641,Embedded Systems,C#
ETU_078,11,1,Developing Potential,1.5064737639022372,1.5376443567733804,2.880164293704988,1.7818773411005138,DevOps & Cloud Computing,JavaScript
ETU_036,11,2,Analytical Thinker,1.4591448192310177,1.1608882111608896,4.213557431766916,4.975567956630615,Network Engineering,Angular
ETU_068,11,3,Natural Leader,4.332401539336649,4.247801008505873,3.3960073074496715,3.225115154352028,Software Engineering,JavaScript
ETU_043,12,0,Balanced Profile,3.3170149904168764,2.645030758667446,2.321630799037484,3.4736267343401614,Embedded Systems,JavaScript
ETU_066,12,1,Strong Communicator,2.956486490698966,2.03230581547424,2.7782587469903683,1.6541899498109,Software Engineering,C++
ETU_003,12,2,Analytical Thinker,2.8140828378372347,2.9336296636862342,2.968796639505077,4.411217068484964,Software Engineering,React
ETU_082,12,3,Natural Leader,3.037904004570402,4.437570693769058,2.837353233493049,3.4467793210090827,Cybersecurity,C++
ETU_081,13,0,Balanced Profile,3.864110109313893,3.0315644965765864,3.5037561274003233,2.5187010210719483,DevOps & Cloud Computing,JavaScript
ETU_084,13,1,Balanced Profile,2.10763801967089,3.2620344150348535,1.852647014748134,3.058819572348719,Software Engineering,C#
ETU_099,13,2,Time Manager,2.065610759954098,2.7729878645760713,4.163780208770249,3.1349530602715463,DevOps & Cloud Computing,Python
ETU_079,13,3,Natural Leader,2.91893969103178,3.738122102946854,2.842759458194458,3.008874292596413,Mobile Development,Angular
ETU_024,14,0,Strong Communicator,3.9269816971291007,3.5323014010065807,3.428797299219628,1.4281995119902313,Software Engineering,C#
ETU_052,14,1,Developing Potential,2.4011894692688402,1.0,1.9122962620380302,2.3107751374342196,Mobile Development,React
ETU_113,14,2,Analytical Thinker,2.2384365452150807,1.6956371536437125,2.524877462383758,4.246889253078995,DevOps & Cloud Computing,C#
ETU_067,14,3,Natural Leader,3.2852553473722073,4.42988050466614,3.945291682625874,3.4991716513447053,DevOps & Cloud Computing,C#
ETU_112,15,0,Strong Communicator,4.541636621733108,2.0468746056300113,2.3945598895950733,2.065016020427011,Software Engineering,JavaScript
ETU_053,15,1,Developing Potential,1.2441125923480367,1.1243448547036703,2.071410046950509,2.825093113407333,Mobile Development,Angular
ETU_019,15,2,Analytical Thinker,2.8709164874706516,2.247340723914027,4.271331535398342,4.428128896021467,Data Science & AI,Angular
ETU_026,15,3,Time Manager,2.4151247407411565,2.6185098429674665,3.9242419437011145,1.8102129058030054,Mobile Development,C#
ETU_057,16,0,Strong Communicator,4.62344585776736,2.4503967925071746,3.4660144939406603,1.9800957877791692,Network Engineering,C++
ETU_080,16,1,Developing Potential,2.185008475382803,2.2351196836039104,1.563187147827298,1.7082361171512237,Data Science & AI,Python
ETU_103,16,2,Analytical Thinker,3.728453150153069,2.0110409784700627,3.1802112937980396,4.64636137755843,Software Engineering,Angular
ETU_085,16,3,Time Manager,3.4912188416857095,3.5755182645769947,3.358929542056562,2.0275216032366012,Network Engineering,PHP
ETU_071,17,0,Strong Communicator,3.856276240299822,2.7298631235224073,2.7681414282891303,1.9454581999611742,Cybersecurity,Python
ETU_041,17,1,Developing Potential,2.170271198898939,2.230614444863678,3.1473380221281166,2.3098421946050953,Cybersecurity,PHP
ETU_018,17,2,Analytical Thinker,2.605609149294274,1.9292755612510426,3.284802103380021,4.408998705333069,Network Engineering,C++
ETU_074,17,3,Natural Leader,3.645715687746339,4.245547760123873,3.1160049099335305,2.6836449607028943,Data Science & AI,C#
ETU_107,18,0,Strong Communicator,3.0910103873064227,3.1077698363873347,2.733878899890598,2.451765983214471,Data Science & AI,JavaScript
ETU_010,18,1,Developing Potential,1.7467680781757782,2.529192944806847,1.9392709498398448,2.092660516200797,Data Science & AI,Java
ETU_033,18,2,Analytical Thinker,1.7777857941424422,2.6680163035663633,3.0281013359421896,3.745501653394538,Software Engineering,PHP
ETU_020,18,3,Time Manager,2.2073015914477203,2.9532627138209437,3.7478750082988075,2.1935556183104414,Mobile Development,C#
ETU_111,19,0,Strong Communicator,3.8495701264295867,1.5324184516649557,3.0722851105465283,2.3508841653643073,Cybersecurity,JavaScript
ETU_061,19,1,Developing Potential,2.1628164357594715,1.6681497024943628,1.0,1.9219362569361151,Embedded Systems,C++
ETU_073,19,2,Analytical Thinker,3.5003819129857217,1.6310297371109985,3.2600113090052334,4.076878662890124,Embedded Systems,JavaScript
ETU_054,19,3,Natural Leader,3.1299404505228523,3.9457768634382386,4.543310811111999,2.5751300637174617,Web Development,React
ETU_089,20,0,Balanced Profile,4.109836433152144,3.46127099223549,3.043222116770247,2.972674618059309,Web Development,Java
ETU_048,20,1,Developing Potential,1.9218783684099692,1.3373895489808503,2.466943247956318,2.1143817652214008,Embedded Systems,JavaScript
ETU_039,20,2,Analytical Thinker,1.5818220746732514,2.5205792503436815,3.3232813240072065,3.7890129448046017,Network Engineering,Python
ETU_101,20,3,Time Manager,3.49440778703414,3.2006181585783366,3.9337887394586692,2.4564923441549196,Data Science & AI,PHP
ETU_110,21,0,Strong Communicator,3.9017389402863083,3.2593389651421383,3.3966416165232367,2.196192147356299,DevOps & Cloud Computing,Python
ETU_069,21,1,Developing Potential,1.5804434543117767,1.1339978568684441,4.128038919525707,2.255044136294876,Software Engineering,JavaScript
ETU_094,21,2,Balanced Profile,2.489417029388528,3.2183958103689267,2.7356421189202833,3.7243711636058556,Embedded Systems,Angular
ETU_058,21,3,Natural Leader,2.7716654075400404,4.876071053338383,4.055238854478034,2.8222470977131136,Embedded Systems,React
ETU_009,22,0,Strong Communicator,3.8665482229193673,2.7693992391046307,2.5286252714770376,1.7959158864095262,Data Science & AI,Python
ETU_105,22,1,Developing Potential,2.1063143267297577,2.5528871660815016,2.014296545161237,2.9152304932172495,Data Science & AI,React
ETU_059,22,2,Balanced Profile,3.357170209604788,2.3469353504460186,2.789282278917741,4.710804542838444,Web Development,Python
ETU_047,22,3,Natural Leader,3.076484341471796,3.9013686613839047,3.393935502130531,1.7159671907953773,Software Engineering,C#
ETU_075,23,0,Balanced Profile,2.69960938748032,3.0164247929340227,2.6308624855752463,2.1152480785840826,Data Science & AI,Angular
ETU_011,23,1,Developing Potential,1.8070084649553935,2.3644176862936095,2.596931924478349,2.13098758134438,Software Engineering,Python
ETU_077,23,2,Time Manager,2.266455503063005,2.968710390766427,4.350418717011918,4.178136540600786,Mobile Development,PHP
ETU_051,23,3,Time Manager,2.5723573006084948,2.5324456744150843,4.352473337216803,2.6958067552558376,Data Science & AI,JavaScript
ETU_108,24,0,Strong Communicator,4.135421288676497,2.741534610439421,2.049700238437265,2.096032424935662,DevOps & Cloud Computing,C#
ETU_027,24,1,Developing Potential,1.7671538771543287,2.0949252725263854,1.7695702054900624,2.146841006966158,Software Engineering,C#
ETU_096,24,2,Analytical Thinker,1.891013865267564,1.604224219364053,2.8863939095763786,3.920573934481181,Data Science & AI,Python
ETU_031,24,3,Balanced Profile,2.145084195634417,3.483070561098739,3.1033104553440944,3.05925115746248,DevOps & Cloud Computing,Java
ETU_037,25,0,Balanced Profile,3.5753048100986216,3.6311388897933945,2.6445864266087677,3.1741286175733494,DevOps & Cloud Computing,C#
ETU_038,25,2,Analytical Thinker,3.156755398359012,1.7870375291406306,2.5844856108684993,4.376720487977136,Data Science & AI,JavaScript
ETU_098,25,3,Natural Leader,2.767751085917698,3.895086996801074,4.4301498036633,2.8487916203122756,Cybersecurity,Python
ETU_007,25,0,Strong Communicator,4.268657828772102,3.5674802607594396,3.0932053231862864,2.7183278930013026,DevOps & Cloud Computing,React
ETU_049,26,0,Strong Communicator,3.148893366959994,2.129747450928391,2.371113747885674,2.8311370343593625,Embedded Systems,Angular
ETU_086,26,2,Analytical Thinker,3.096525219365613,2.750873853088559,4.527534921834795,4.7049446608305585,Embedded Systems,C++
ETU_050,26,3,Balanced Profile,2.971085516485057,2.7519138090983346,3.821552878453126,2.4168595761702285,Software Engineering,Angular
ETU_119,26,0,Balanced Profile,3.6038792124138275,1.6778485119605129,3.1513004102853452,2.3883584611603523,DevOps & Cloud Computing,React
ETU_022,27,0,Strong Communicator,3.9171144011992727,1.6346020101609278,3.1959809557685728,2.163561153768704,Mobile Development,JavaScript
ETU_032,27,2,Analytical Thinker,2.7337019765979744,2.85882006909871,3.865413382138263,3.6438904032842965,DevOps & Cloud Computing,C#
ETU_016,27,3,Natural Leader,2.759495720732903,4.232798222565425,3.7743682427691447,3.8190756255027365,Data Science & AI,Angular
ETU_042,27,3,Natural Leader,4.253285418989294,4.829207890085943,3.2205166585291023,2.694413601903313,Cybersecurity,PHP
ETU_023,28,0,Strong Communicator,3.4540330498023435,3.212198000669207,2.920287537855472,2.5319507319908703,Embedded Systems,PHP
ETU_102,28,2,Time Manager,2.5370445295728627,1.92328869915529,4.740466376778683,3.1288143084035647,Embedded Systems,Java
ETU_100,28,3,Time Manager,1.86318859853362,3.26588708981804,3.813913253352768,2.768963757840411,Embedded Systems,Angular
ETU_087,28,2,Analytical Thinker,2.9652998604162226,2.0545813860652453,2.8553725088836073,4.146715276433075,Embedded Systems,JavaScript
ETU_017,29,0,Balanced Profile,4.003018238867831,2.4222098622397112,3.4011899160963552,2.5491947426669173,Embedded Systems,C#
ETU_115,29,3,Time Manager,2.824795379362371,2.6101014913131624,4.380619908229617,2.18307003395176,Data Science & AI,C++
ETU_091,29,3,Balanced Profile,3.160415227465514,3.370393333200793,2.741571179723825,3.0123640689716997,Software Engineering,C++
ETU_004,29,0,Strong Communicator,4.935482587685891,2.811691341896723,2.1921950876865433,2.520777451673461,Software Engineering,Python
ETU_006,30,0,Balanced Profile,3.4600938304691136,2.616359464750117,2.716289146590214,2.32934177535544,Data Science & AI,React
ETU_035,30,3,Balanced Profile,3.7305453834642868,3.8018805715531303,3.140248305853746,2.456815050235493,Data Science & AI,React
ETU_076,30,0,Strong Communicator,4.6042252540090765,3.862261604807423,2.033196579893789,2.527644107882267,Data Science & AI,Java
ETU_045,30,0,Strong Communicator,4.144326965403742,2.559821014337575,3.6347475913220295,2.1279318140731784,DevOps & Cloud Computing,Java
