dimension,subcategory,score_level,rubric_description
soft_skills,project_management,2,Adequate project coordination in simple projects
soft_skills,project_management,3,Good project management following standard practices
soft_skills,project_management,4,Excellent project management with effective methodologies
soft_skills,project_management,5,Exceptional project leadership that ensures success
hard_skills,programming_languages,0,Cannot write functional code in any language
hard_skills,programming_languages,1,Basic syntax knowledge with limited functionality
hard_skills,programming_languages,2,Can write simple programs with guidance
hard_skills,programming_languages,3,Proficient in at least one language with good practices
hard_skills,programming_languages,4,Skilled in multiple languages with advanced concepts
hard_skills,programming_languages,5,Expert-level programming across multiple paradigms
hard_skills,software_engineering_principles,0,No understanding of software engineering principles
hard_skills,software_engineering_principles,1,Basic awareness with poor implementation
hard_skills,software_engineering_principles,2,Adequate application of simple principles
hard_skills,software_engineering_principles,3,Good understanding and application of core principles
hard_skills,software_engineering_principles,4,Excellent application of advanced principles and patterns
hard_skills,software_engineering_principles,5,Exceptional mastery that guides architectural decisions
hard_skills,database_management,0,No database knowledge or skills
hard_skills,database_management,1,Basic SQL with limited database understanding
hard_skills,database_management,2,Adequate database operations and simple queries
hard_skills,database_management,3,Good database design and query optimization
hard_skills,database_management,4,Excellent database management with advanced techniques
hard_skills,database_management,5,Exceptional database expertise with performance optimization
hard_skills,devops_deployment,0,No understanding of deployment or DevOps
hard_skills,devops_deployment,1,Basic awareness with limited practical knowledge
hard_skills,devops_deployment,2,Can perform simple deployment tasks with guidance
hard_skills,devops_deployment,3,Good understanding of CI/CD and deployment practices
hard_skills,devops_deployment,4,Excellent DevOps skills with automation and optimization
hard_skills,devops_deployment,5,Exceptional DevOps expertise that improves team efficiency
hard_skills,testing_qa,0,No testing knowledge or practices
hard_skills,testing_qa,1,Basic testing awareness with minimal implementation
hard_skills,testing_qa,2,Adequate testing of simple functionality
hard_skills,testing_qa,3,Good testing practices with appropriate coverage
hard_skills,testing_qa,4,Excellent testing strategies including advanced techniques
hard_skills,testing_qa,5,Exceptional testing expertise that ensures quality
hard_skills,mathematics_algorithms,0,Poor mathematical foundation and algorithmic thinking
hard_skills,mathematics_algorithms,1,Basic math skills with limited algorithmic understanding
hard_skills,mathematics_algorithms,2,Adequate mathematical reasoning for simple algorithms
hard_skills,mathematics_algorithms,3,Good mathematical foundation with solid algorithmic skills
hard_skills,mathematics_algorithms,4,Excellent mathematical reasoning and advanced algorithms
hard_skills,mathematics_algorithms,5,Exceptional mathematical expertise enabling complex solutions
